GENES,gene accession,Start position,End position,CHROMOSOME,Strand,DESCRIPTION,PSORIASIC ARTHRITIS,ANKYLOSING SPONDYLITIS,SOURCE,1176,TOTAL DE GENES EM COMUM,,,,
FLT1,ENSG00000102755,28300346,28495145,13,(-),fms related receptor tyrosine kinase 1,X,X,3,1,,,,,
AREG,ENSG00000109321,74445136,74455005,4,(+),amphiregulin,X,X,4,1,,,,,
ENO2,ENSG00000111674,6913745,6923698,12,(+),enolase 2,,X,4,0,,,,,
NTRK3,ENSG00000140538	,87859751,88256768,15,(-),neurotrophic receptor tyrosine kinase 3,,X,4,0,,,,,
SCN1A,ENSG00000144285,165984641,166149214,2,(-),sodium voltage-gated channel alpha subunit 1,X,X,5,1,,,,,
ABCG1,ENSG00000160179,42199689,42297244,21,(+),ATP binding cassette subfamily G member 1,,X,4,0,,,,,
TGFA,ENSG00000163235,70447284,70554193,2,(-),transforming growth factor alpha,X,X,2; 5,1,,,,,
GNG4,ENSG00000168243,235547685,235650754,1,(-),G protein subunit gamma 4,,X,4; 6,0,,,,,
SLC7A5,ENSG00000103257,87830023,87869507,16,(-),solute carrier family 7 member 5,X,X,2; 4; 18,1,,,,,
SPN,ENSG00000197471,29662979,29670876,16,(+),sialophorin,,X,4,0,,,,,
SKA1,ENSG00000154839,50375040,50394168,18,(+),spindle and kinetochore associated complex subunit 1,X,,18,0,,,,,
H6PD,ENSG00000049239	,9234774,9271337,1,(+),hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase,,X,4,0,,,,,
ORAI2,ENSG00000160991,102433106,102456825,7,(+),ORAI calcium release-activated calcium modulator 2,,X,4,0,,,,,
FUT2,ENSG00000176920,48695971,48705951,19,(+),fucosyltransferase 2 (H blood group),X,X,2; 3,1,,,,,
CBX5,ENSG00000094916,54230942,54280133,12,(-),chromobox 5,X,X,4; 18,1,,,,,
UTP11,ENSG00000183520,38009258,38024820,1,(+),UTP11 small subunit processome component,X,X,41,1,,,,,
ADIPOQ,ENSG00000181092,186842704,186858463,3,(+),"adiponectin, C1Q and collagen domain containing",X,X,1,1,,,,,
HIF1A,ENSG00000100644,61695513,61748259,14,(+),hypoxia inducible factor 1 subunit alpha,X,X,2; 4; 16,1,,,,,
IL6R, 	ENSG00000160712 ,154405193,154469450,1,(+),	interleukin 6 receptor,X,X,16,1,,,,,
IL6ST,ENSG00000134352,55935095,55995022,5,(-),interleukin 6 cytokine family signal transducer,X,,18,0,,,,,
IFNGR1,ENSG00000027697,137197485,137219449,6,(-),interferon gamma receptor 1,X,X,2; 16; 18,1,,,,,
CD3D,ENSG00000167286,118339075,118342705,11,(-),CD3 delta subunit of T-cell receptor complex,X,X,2; 18,1,,,,,
PPARG,ENSG00000132170,12287368,12434356,3,(+),peroxisome proliferator activated receptor gamma,X,X,1; 3,1,,,,,
DNA2,ENSG00000138346,68414064,68472121,10,(-),DNA replication helicase/nuclease 2,X,X,2,1,,,,,
STUB1,ENSG00000103266	,680224,682870,16,(+),STIP1 homology and U-box containing protein 1,,X,4; 5,0,,,,,
GAPDH,ENSG00000111640,6534512,6538374,12,(+),glyceraldehyde-3-phosphate dehydrogenase,X,X,4; 17; 18,1,,,,,
TICRR,ENSG00000140534,89575469,89631056,15,(+),TOPBP1 interacting checkpoint and replication regulator,X,X,2,1,,,,,
RBBP8,ENSG00000101773,22798261,23026488,18,(+),"RB binding protein 8, endonuclease",X,X,18,1,,,,,
DDX11,ENSG00000013573,31073860,31104799,12,(+),DEAD/H-box helicase 11,X,X,18,1,,,,,
NME2,ENSG00000243678,51165435,51171744,17,(+),NME/NM23 nucleoside diphosphate kinase 2,X,X,18,1,,,,,
TNFAIP3,ENSG00000118503,137867214,137883312,6,(+),TNF alpha induced protein 3,X,X,1; 4; 18,1,,,,,
DUSP1,ENSG00000120129,172768096,172771195,5,(-),dual specificity phosphatase 1,X,,15; 18,0,,,,,
S100A11,ENSG00000163191,152032506,152047907,1,(-),S100 calcium binding protein A11,X,,2; 18,0,,,,,
CXCR4,ENSG00000121966,136114349,136118149,2,(-),C-X-C motif chemokine receptor 4,X,,2; 16; 18,0,,,,,
HLA-DRB5,ENSG00000198502,32517353,32530287,6,(-),"major histocompatibility complex, class II, DR beta 5",X,,18,0,,,,,
HLA-DQB1,ENSG00000179344,32659467,32668383,6,(-),"major histocompatibility complex, class II, DQ beta 1",X,X,18,1,,,,,
FCER1G,ENSG00000158869,161215234,161220699,1,(+),Fc epsilon receptor Ig,X,,18,0,,,,,
GZMA,ENSG00000145649,55102646,55110252,5,(+),granzyme A,X,X,16; 18,1,,,,,
SRGN,ENSG00000122862,69088103,69104805,10,(+),serglycin,X,,18,0,,,,,
CCL3,ENSG00000277632,36088256,36090169,17,(-),C-C motif chemokine ligand 3,X,X,18,1,,,,,
CCL4L2,ENSG00000276070,36210924,36212878,17,(+),C-C motif chemokine ligand 4 like 2,X,,18,0,,,,,
ADGRG1, 	ENSG00000205336,57610652,57665580,16,(+),adhesion G protein-coupled receptor G1,X,,18,0,,,,,
CCL4,ENSG00000275302,36103827,36105621,17,(+),C-C motif chemokine ligand 4,X,,18,0,,,,,
CARD11,ENSG00000198286,2906141,3043945,7,(-),caspase recruitment domain family member 11,X,X,2; 4,1,,,,,
SOCS3,ENSG00000184557,78356778,78360077,17,(-),suppressor of cytokine signaling 3,X,X,16; 18,1,,,,,
CEP192,ENSG00000101639,12991362,13125052,18,(+),centrosomal protein 192,,X,4,0,,,,,
IL18,ENSG00000150782,112143253,112164096,11,(-),interleukin 18,X,X,1,1,,,,,
RIT1,ENSG00000143622,155897808,155911404,1,(-),Ras like without CAAX 1,X,X,2; 4,1,,,,,
GNAQ,ENSG00000156052,77716097,78031811,9,(-),G protein subunit alpha q,,X,4,0,,,,,
PPP2R3C,ENSG00000092020,35085467,35122517,14,(-),protein phosphatase 2 regulatory subunit B''gamma,,X,4; 5,0,,,,,
TNFRSF4,ENSG00000186827,1211340,1214153,1,(-),TNF receptor superfamily member 4,X,X,3,1,,,,,
TRAF2,ENSG00000127191,136881912,136926607,9,(+),TNF receptor associated factor 2,X,X,5; 18,1,,,,,
SP7,	ENSG00000170374 ,53326575,53345315,12,(-),Sp7 transcription factor,X,X,2; 5,1,,,,,
BGLAP,ENSG00000242252 ,156242184,156243317,1,(+),bone gamma-carboxyglutamate protein,X,X,2; 5,1,,,,,
LINC00339,ENSG00000218510,22024558,22031223,1,(+),long intergenic non-protein coding RNA 339,,X,4,0,,,,,
NOTCH1,ENSG00000148400,136494433,136546048,9,(-),notch receptor 1,,X,4,0,,,,,
IL10 ,ENSG00000136634,206767602,206774541,1,(-),interleukin 10,X,X,1,1,,,,,
ITGA2B,ENSG00000005961,44372180,44389649,17,(-),integrin subunit alpha 2b,X,X,2; 5,1,,,,,
CTSA,ENSG00000064601,45890144,45898820,20,(+),cathepsin A,X,X,2; 4; 18,1,,,,,
PTGS1,ENSG00000095303,122370530,122395703,9,(+),prostaglandin-endoperoxide synthase 1,X,X,1; 4,1,,,,,
MEFV,ENSG00000103313,3242027,3256633,16,(-),"MEFV innate immunity regulator, pyrin",X,X,1,1,,,,,
ITGAX,ENSG00000140678,31355134,31382999,16,(+),integrin subunit alpha X,X,X,4,1,,,,,
NPEPPS,ENSG00000141279,47522942,47623276,17,(+),aminopeptidase puromycin sensitive,X,X,1; 4,1,,,,,
SKAP1,ENSG00000141293,48133442,48430275,17,(-),src kinase associated phosphoprotein 1,X,X,4; 18,1,,,,,
ADAM8,ENSG00000151651,133262420,133276868,10,(-),ADAM metallopeptidase domain 8,X,,18,0,,,,,
SLAMF6,ENSG00000162739,160485030,160523262,1,(-),SLAM family member 6,X,X,2; 18,1,,,,,
EOMES,ENSG00000163508,27715949,27722711,3,(-),eomesodermin,X,X,16; 18,1,,,,,
ANPEP,ENSG00000166825,89784895,89815401,15,(-),"alanyl aminopeptidase, membrane",X,X,15,1,,,,,
ATG16L2,ENSG00000168010,72814406,72843674,11,(+),autophagy related 16 like 2,,X,4,0,,,,,
ITGAM,ENSG00000169896,31259967,31332892,16,(+),integrin subunit alpha M,X,X,3; 18,1,,,,,
CD7,ENSG00000173762,82314868,82317608,17,(-),CD7 molecule,X,X,2; 16; 18,1,,,,,
SH2D1A,ENSG00000183918,124227868,124373197,X,(+),SH2 domain containing 1A,X,X,18,1,,,,,
CD81,ENSG00000110651,2376177,2397397,11,(+),CD81 molecule,X,,18,0,,,,,
CD247,ENSG00000198821,167430640,167518610,1,(-),CD247 molecule,X,X,2; 3; 18,1,,,,,
IL2RB,ENSG00000100385,37125843,37175054,22,(-),interleukin 2 receptor subunit beta,X,X,18,1,,,,,
SOST,ENSG00000167941,43753738,43758791,17,(-),sclerostin,X,X,1,1,,,,,
DKK1,ENSG00000107984,52314281,52318042,10,(+),dickkopf WNT signaling pathway inhibitor 1,X,X,1,1,,,,,
OSTN,ENSG00000188729,191199241,191265615,3,(+),osteocrin,,X,6,0,,,,,
TNFRSF11B,ENSG00000164761,118923557,118951885,8,(-),TNF receptor superfamily member 11b,,X,1,0,,,,,
TNFSF11,ENSG00000120659	,42562736,42608013,13,(+),TNF superfamily member 11,X,X,1,1,,,,,
PHEX,ENSG00000102174,22032325,22251310,X,(+),phosphate regulating endopeptidase X-linked,X,X,2; 5,1,,,,,
ALPL,ENSG00000162551,21509397,21578410,1,(+),"alkaline phosphatase, biomineralization associated",X,X,1; 15,1,,,,,
COL1A1,ENSG00000108821	,50184101,50201632,17,(-),collagen type I alpha 1 chain,X,X,2; 5,1,,,,,
SPP1,ENSG00000118785,87975650,87983426,4,(+),secreted phosphoprotein 1,X,X,2; 5,1,,,,,
SPARC,ENSG00000113140	,151661096,151686975,5,(-),secreted protein acidic and cysteine rich,,X,4,0,,,,,
IFNLR1,ENSG00000185436,24154168,24187959,1,(-),interferon lambda receptor 1,X,X,2; 5,1,,,,,
STAT1,ENSG00000115415,190908460,191020960,2,(-),signal transducer and activator of transcription 1,X,X,2; 3; 18,1,,,,,
PTGER4,ENSG00000171522,40679915,40693735,5,(+),prostaglandin E receptor 4,X,X,18,1,,,,,
RPL32,ENSG00000144713,12834485,12841582,3,(-),ribosomal protein L32,X,X,5; 18,1,,,,,
CD40 ,ENSG00000101017,46118278,46129863,20,(+),CD40 molecule,X,X,2; 5,1,,,,,
TSC22D3 ,ENSG00000157514,107713221,107777342,X,(-),TSC22 domain family member 3,X,X,4; 18,1,,,,,
EP300,ENSG00000100393	,41092592,41180077,22,(+),E1A binding protein p300,,X,5,0,,,,,
CDC25B,ENSG00000101224	,3786772,3806121,20,(+),cell division cycle 25B,X,X,2; 18,1,,,,,
SPOCK2,ENSG00000107742	,72059034,72089032,10,(-),"SPARC (osteonectin), cwcv and kazal like domains proteoglycan 2",X,X,2; 4; 18,1,,,,,
MCM3,ENSG00000112118	,52264014,52284881,6,(-),minichromosome maintenance complex component 3,X,,18,0,,,,,
DOCK10,ENSG00000135905,224765090,225042445,2,(-),dedicator of cytokinesis 10,X,X,2,1,,,,,
ITGB7,ENSG00000139626	,53191323,53207282,12,(-),integrin subunit beta 7,X,,18,0,,,,,
CLEC4D,ENSG00000166527	,8509475,8522366,12,(+),C-type lectin domain family 4 member D,X,X,2; 5,1,,,,,
VAMP5,ENSG00000168899	,85584431,85593406,2,(+),vesicle associated membrane protein 5,X,,18,0,,,,,
PTPN1,ENSG00000196396,50510321,50585241,20,(+),protein tyrosine phosphatase non-receptor type 1,X,X,4; 18,1,,,,,
IRF1,ENSG00000125347	,132481609,132490777,5,(-),interferon regulatory factor 1,X,X,2; 18,1,,,,,
PLAAT4,ENSG00000133321,63536808,63546462,11,(+),retinoic acid receptor responder 3,X,X,5; 18,1,,,,,
GBP5,ENSG00000154451	,89258950,89272804,1,(-),guanylate binding protein 5,X,X,2; 3; 18,1,,,,,
TNFAIP6,ENSG00000123610,151357592,151380046,2,(+),TNF alpha induced protein 6,X,X,2; 5,1,,,,,
EPSTI1,ENSG00000133106	,42886388,42992271,13,(-),epithelial stromal interaction 1,X,X,2; 18,1,,,,,
GCH1,ENSG00000131979	,54842008,54902826,14,(-),GTP cyclohydrolase 1,X,X,2; 5,1,,,,,
IL32,ENSG00000008517	,3065297,3082192,16,(+),interleukin 32,X,X,3; 4; 18,1,,,,,
RSAD2,ENSG00000134321,6865806,6898239,2,(+),radical S-adenosyl methionine domain containing 2,X,X,2; 5,1,,,,,
IL15,ENSG00000164136,141636583,141733987,4,(+),interleukin 15,X,X,2; 5,1,,,,,
APOL3,ENSG00000128284,36140330,36166177,22,(-),apolipoprotein L3,X,X,2,1,,,,,
PLD1,ENSG00000075651,171600404,171810950,3,(-),phospholipase D1,X,X,3,1,,,,,
NOS2,ENSG00000007171	,27756766,27800529,17,(-),nitric oxide synthase 2,X,X,2,1,,,,,
NFKBIA,ENSG00000100906,35401513,35404749,14,(-),NFKB inhibitor alpha,X,X,1; 4; 18,1,,,,,
MMP9,ENSG00000100985,46008908,46016561,20,(+),matrix metallopeptidase 9,X,X,4,1,,,,,
NAMPT,ENSG00000105835	,106248298,106286326,7,(-),nicotinamide phosphoribosyltransferase,X,X,1; 4,1,,,,,
VDR,ENSG00000111424	,47841537,47943048,12,(-),vitamin D receptor,X,X,1,1,,,,,
VEGFA,ENSG00000112715,43770184,43786487,6,(+),vascular endothelial growth factor A,X,X,1; 4,1,,,,,
WNT5A,ENSG00000114251,55465715,55490539,3,(-),Wnt family member 5A,X,,2,0,,,,,
IFIH1,ENSG00000115267,162267074,162318684,2,(-),interferon induced with helicase C domain 1,X,X,1,1,,,,,
IL37,ENSG00000125571,112912971,112918882,2,(+),interleukin 37,X,X,1,1,,,,,
CRP,ENSG00000132693,159712289,159714589,1,(-),C-reactive protein,X,X,1,1,,,,,
PTPN22,ENSG00000134242	,113813811,113871753,1,(-),protein tyrosine phosphatase non-receptor type 22,X,X,1; 18,1,,,,,
IL6,ENSG00000136244,22725884,22732002,7,(+),interleukin 6,X,X,1,1,,,,,
IL1F10,ENSG00000136697	,113067970,113075843,2,(+),interleukin 1 family member 10,X,X,1,1,,,,,
S100A8,ENSG00000143546,153390032,153391073,1,(-),S100 calcium binding protein A8,X,X,1,1,,,,,
IL9,ENSG00000145839	,135892246,135895841,5,(-),interleukin 9,X,,1; 16,0,,,,,
MMP3,ENSG00000149968	,102835801,102843609,11,(-),matrix metallopeptidase 3,X,X,1,1,,,,,
IL20,ENSG00000162891	,206865354,206869223,1,(+),interleukin 20,X,,2,0,,,,,
PTX3,ENSG00000163661	,157436850,157443633,3,(+),pentraxin 3,X,X,1,1,,,,,
TLR3,ENSG00000164342	,186069155,186088073,4,(+),toll like receptor 3,X,X,2; 5,1,,,,,
FABP5,ENSG00000164687	,81280536,81284777,8,(+),fatty acid binding protein 5,X,X,2; 5; 18,1,,,,,
IL25,ENSG00000166090	,23372809,23376403,14,(+),interleukin 25,X,,16,0,,,,,
PRL,ENSG00000172179	,22287244,22302826,6,(-),prolactin,X,,1,0,,,,,
BSG,ENSG00000172270	,571277,583493,19,(+),basigin (Ok blood group),X,,3; 18,0,,,,,
SAA1,ENSG00000173432	,18266260,18269977,11,(+),serum amyloid A1,X,X,1; 10,1,,,,,
LEP,ENSG00000174697	,128241278,128257629,7,(+),leptin,X,X,1,1,,,,,
MTHFR,ENSG00000177000,11785723,11806455,1,(-),methylenetetrahydrofolate reductase,X,X,1; 4,1,,,,,
TNFSF15,ENSG00000181634	,114784652,114806039,9,(-),TNF superfamily member 15,X,X,1,1,,,,,
IRAK1,ENSG00000184216	,154010506,154019902,X,(-),interleukin 1 receptor associated kinase 1,X,X,2; 4,1,,,,,
LCE3B,ENSG00000187238	,152613811,152614098,1,(+),late cornified envelope 3B,X,,1,0,,,,,
TNFSF12,ENSG00000239697	,7549058,7557890,17,(+),TNF superfamily member 12,X,,1; 18,0,,,,,
TLR9,ENSG00000239732	,52221080,52226163,3,(-),toll like receptor 9,X,X,1,1,,,,,
MIR146A,ENSG00000283733	,160485352,160485450,5,(+),microRNA 146a,X,X,1,1,,,,,
MIR21,ENSG00000284190,59841266,59841337,17,(+),microRNA 21,X,X,2; 5,1,,,,,
ITM2A,ENSG00000078596	,79360384,79367667,X,(-),integral membrane protein 2A,X,X,1; 18,1,,,,,
TRAF5,ENSG00000082512	,211326615,211374946,1,(+),TNF receptor associated factor 5,X,X,1; 18,1,,,,,
PSMD7,ENSG00000103035	,74296814,74306288,16,(+),"proteasome 26S subunit, non-ATPase 7",X,X,5,1,,,,,
TGFB1,ENSG00000105329	,41301587,41353922,19,(-),transforming growth factor beta 1,X,X,1; 4; 16; 18,1,,,,,
CCL2,ENSG00000108691	,34255218,34257203,17,(+),C-C motif chemokine ligand 2,X,X,1,1,,,,,
TREML2,ENSG00000112195	,41189749,41201149,6,(-),triggering receptor expressed on myeloid cells like 2,,X,1; 4,0,,,,,
IL1R2,ENSG00000115590	,101991960,102028544,2,(+),interleukin 1 receptor type 2,X,X,1; 3,1,,,,,
KIF21B,ENSG00000116852	,200969390,201023700,1,(-),kinesin family member 21B,,X,1,0,,,,,
TESPA1,ENSG00000135426	,54948015,54984762,12,(-),"thymocyte expressed, positive selection associated 1",X,X,1; 3; 18,1,,,,,
TLR2,ENSG00000137462,153684070,153706260,4,(+),toll like receptor 2,X,X,1,1,,,,,
GC,ENSG00000145321	,71741696,71804041,4,(-),GC vitamin D binding protein,,X,1,0,,,,,
JMY,ENSG00000152409,79236131,79327211,5,(+),"junction mediating and regulatory protein, p53 cofactor",,X,1,0,,,,,
PADI4,ENSG00000159339	,17308195,17364004,1,(+),peptidyl arginine deiminase 4,,X,1; 4,0,,,,,
ANTXR2,ENSG00000163297,79901146,80125454,4,(-),ANTXR cell adhesion molecule 2,X,X,1; 3; 4; 18,1,,,,,
FCRL4,ENSG00000163518	,157573747,157598085,1,(-),Fc receptor like 4,,X,1,0,,,,,
CTLA4,ENSG00000163599	,203867771,203873965,2,(+),cytotoxic T-lymphocyte associated protein 4,X,X,1; 3; 16; 18,1,,,,,
SNAPC4,ENSG00000165684	,136375577,136400168,9,(-),small nuclear RNA activating complex polypeptide 4,,X,1,0,,,,,
TUBA8,ENSG00000183785	,18110331,18146554,22,(+),tubulin alpha 8,,X,1,0,,,,,
CARD9,ENSG00000187796	,136361903,136373681,9,(-),caspase recruitment domain family member 9,X,X,1,1,,,,,
HMGB1,ENSG00000189403	,30456704,30617597,13,(-),high mobility group box 1,X,X,1; 4; 18,1,,,,,
TBKBP1,ENSG00000198933	,47694081,47712050,17,(+),TBK1 binding protein 1,,X,1,0,,,,,
MIRLET7I,ENSG00000199179	,62603686,62603769,12,(+),microRNA let-7i,,X,1,0,,,,,
FCGR3A,ENSG00000203747	,161541759,161550737,1,(-),Fc gamma receptor IIIa,X,X,1; 4,1,,,,,
KIR3DL2,ENSG00000240403	,54850443,54867207,19,(+),"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2",X,X,1; 18,1,,,,,
MIR29A,ENSG00000284032	,130876747,130876810,7,(-),microRNA 29a,,X,1,0,,,,,
MPO,ENSG00000005381,58269855,58280935,17,(-),myeloperoxidase,X,,1,0,,,,,
ITGAL,ENSG00000005844,30472719,30523185,16,(+),integrin subunit alpha L,X,X,2; 18,1,,,,,
PTGS2,ENSG00000073756,186671791,186680423,1,(-),prostaglandin-endoperoxide synthase 2,X,X,4,1,,,,,
ICAM1,ENSG00000090339,10271093,10286615,19,(+),intercellular adhesion molecule 1,X,X,16,1,,,,,
IL12RB1,ENSG00000096996,18058995,18098944,19,(-),interleukin 12 receptor subunit beta 1,X,,2; 16,0,,,,,
NELFCD,ENSG00000101158,58981208,58995133,20,(+),negative elongation factor complex member C/D,X,,18,0,,,,,
IL7,ENSG00000104432,78675743,78805523,8,(-),interleukin 7,X,X,2; 5,1,,,,,
TNFRSF10A,ENSG00000104689,23190452,23225102,8,(-),TNF receptor superfamily member 10a,X,X,2; 5,1,,,,,
RETN,ENSG00000104918,7669049,7670455,19,(+),resistin,X,X,2; 5,1,,,,,
TYK2,ENSG00000105397,10350529,10380572,19,(-),tyrosine kinase 2,X,X,16,1,,,,,
IL2,ENSG00000109471,122451470,122456725,4,(-),interleukin 2,X,X,1; 16,1,,,,,
IL4,ENSG00000113520,132673986,132682678,5,(+),interleukin 4,X,X,1; 16,1,,,,,
IL5,ENSG00000113525,132541445,132556838,5,(-),interleukin 5,X,X,2; 5,1,,,,,
CCRL2,ENSG00000121797,46407166,46412997,3,(+),C-C motif chemokine receptor like 2,X,X,2; 5,1,,,,,
IL17C,ENSG00000124391,88638572,88640468,16,(+),interleukin 17C,X,,12,0,,,,,
CHI3L1,ENSG00000133048,203178931,203186704,1,(-),chitinase 3 like 1,X,,15,0,,,,,
EGF,ENSG00000138798,109912883,110013766,4,(+),epidermal growth factor,X,X,2; 5,1,,,,,
JAK1,ENSG00000162434,64833229,65067754,1,(-),Janus kinase 1,X,,18,0,,,,,
ALB,ENSG00000163631,73397114,73421482,4,(+),albumin,X,X,2; 5,1,,,,,
NOD2,ENSG00000167207,50693588,50734041,16,(+),nucleotide binding oligomerization domain containing 2,X,X,1,1,,,,,
GPT,ENSG00000167701,144502973,144507174,8,(+),glutamic--pyruvic transaminase,X,X,2; 5,1,,,,,
IL13,ENSG00000169194,132656263,132661110,5,(+),interleukin 13,X,X,1; 16,1,,,,,
CD163,ENSG00000177575,7470813,7503893,12,(-),CD163 molecule,X,X,4,1,,,,,
CD28,ENSG00000178562,203706475,203738912,2,(+),CD28 molecule,X,X,18,1,,,,,
PRTN3,ENSG00000196415,840999,848175,19,(+),proteinase 3,X,X,2; 5,1,,,,,
MMP1,ENSG00000196611,102789919,102798160,11,(-),matrix metallopeptidase 1,X,X,2; 5,1,,,,,
IFNA1,ENSG00000197919,21440439,21441316,9,(+),interferon alpha 1,X,X,2; 5,1,,,,,
INS,ENSG00000254647,2159779,2161221,11,(-),insulin,X,X,2; 5,1,,,,,
PECAM1,ENSG00000261371,64319415,64413776,17,(-),platelet and endothelial cell adhesion molecule 1,X,,18,0,,,,,
CCL5,ENSG00000271503,35871491,35880793,17,(-),C-C motif chemokine ligand 5,X,X,18,1,,,,,
ACE,ENSG00000159640,63477061,63498380,17,(+),angiotensin I converting enzyme,X,X,1,1,,,,,
IL1RN,ENSG00000136689,113107214,113134016,2,(+),interleukin 1 receptor antagonist,X,X,1,1,,,,,
CD40LG,ENSG00000102245,136648158,136660390,X,(+),CD40 ligand,X,X,3; 18,1,,,,,
ZNF316,ENSG00000205903,6637318,6658279,7,(+),zinc finger protein 316,X,X,4,1,,,,,
TNFSF13B,ENSG00000102524,108251240,108308484,13,(+),TNF superfamily member 13b,X,X,3,1,,,,,
TNFRSF1B,ENSG00000028137,12166991,12209228,1,(+),TNF receptor superfamily member 1B,X,X,1; 4; 18,1,,,,,
EDNRA,ENSG00000151617,147480917,147544954,4,(+),endothelin receptor type A,X,X,2; 5,1,,,,,
FCGR2A,ENSG00000143226,161505430,161524013,1,(+),Fc gamma receptor IIa,X,X,4,1,,,,,
PTH,ENSG00000152266,13492054,13496181,11,(-),parathyroid hormone,X,X,2; 5,1,,,,,
S100A7,ENSG00000143556,153457744,153460651,1,(-),S100 calcium binding protein A7,X,,10,0,,,,,
ATP12A,ENSG00000075673,24680408,24712472,13,(+),ATPase H+/K+ transporting non-gastric alpha2 subunit,X,,2,0,,,,,
BMP2,ENSG00000125845,6767686,6780246,20,(+),bone morphogenetic protein 2,X,X,1,1,,,,,
MRPL22,ENSG00000082515,154941073,154969411,5,(+),mitochondrial ribosomal protein L22,X,X,5; 18,1,,,,,
CASP1,ENSG00000137752,105025443,105035250,11,(-),caspase 1,X,X,2; 18,1,,,,,
NCAM1,ENSG00000149294,112961247,113278436,11,(+),neural cell adhesion molecule 1,X,X,9,1,,,,,
BMP6,ENSG00000153162,7726099,7881728,6,(+),bone morphogenetic protein 6,,X,4,0,,,,,
FRZB,ENSG00000162998,182833275,182866637,2,(-),frizzled related protein,X,X,2; 5,1,,,,,
TAPBP,ENSG00000231925,33299694,33314387,6,(-),TAP binding protein,X,X,2; 4; 18,1,,,,,
PSMB9,ENSG00000240065,32844136,32859851,6,(+),proteasome 20S subunit beta 9,X,X,1; 18,1,,,,,
TPT1,ENSG00000133112,45333471,45341284,13,(-),"tumor protein, translationally-controlled 1",X,X,4; 5; 18,1,,,,,
RPL21,ENSG00000122026,27251309,27256691,13,(+),ribosomal protein L21,X,X,5; 18,1,,,,,
LMO7,ENSG00000136153,75620434,75859870,13,(+),LIM domain 7,X,X,2; 5,1,,,,,
PSME2,ENSG00000100911,24143362,24147570,14,(-),proteasome activator subunit 2,X,X,2; 18,1,,,,,
TGM1,ENSG00000092295,24249114,24264432,14,(-),transglutaminase 1,X,,2,0,,,,,
HEATR5A,ENSG00000129493,31291788,31420550,14,(-),HEAT repeat containing 5A,X,,2,0,,,,,
SPTSSA,ENSG00000165389,34432788,34462240,14,(-),serine palmitoyltransferase small subunit A,X,,2,0,,,,,
RPL36AL,ENSG00000165502,49618530,49620626,14,(-),ribosomal protein L36a like,X,X,4,1,,,,,
PYGL,ENSG00000100504,50857891,50944483,14,(-),glycogen phosphorylase L,X,X,2; 4,1,,,,,
MCL1,ENSG00000143384,150574551,150579738,1,(-),"MCL1 apoptosis regulator, BCL2 family member",X,X,4; 18,1,,,,,
DHRS7,ENSG00000100612,60144119,60169856,14,(-),dehydrogenase/reductase 7,X,,18,0,,,,,
GPX2,ENSG00000176153,64939152,64942905,14,(-),glutathione peroxidase 2,X,,2,0,,,,,
SPTLC2,ENSG00000100596,77505997,77616637,14,(-),serine palmitoyltransferase long chain base subunit 2,X,,2,0,,,,,
CDC42SE1,ENSG00000197622,151050971,151070325,1,(-),CDC42 small effector 1,X,,2; 18,0,,,,,
GPR68,ENSG00000119714,91232532,91253925,14,(-),G protein-coupled receptor 68,X,,2,0,,,,,
SERPINA1,ENSG00000197249,94376747,94390693,14,(-),serpin family A member 1,X,X,4; 15,1,,,,,
WARS1,ENSG00000140105,100333790,100376805,14,(-),tryptophanyl-tRNA synthetase 1,X,X,4,1,,,,,
ATP5MJ,ENSG00000156411 ,103912288,103928269,14,(-),ATP synthase membrane subunit j,X,X,5,1,,,,,
PNP,ENSG00000198805,20468954,20477089,14,(+),purine nucleoside phosphorylase,X,,18,0,,,,,
SLC39A2,ENSG00000165794,20999255,21001871,14,(+),solute carrier family 39 member 2,X,,2,0,,,,,
